Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,No,Non-Travel,497,Sales,4,3,Technical Degree,1,37,3,Female,56,2,2,Laboratory Technician,1,Divorced,7779,27823,7,No,Y,24,3,4,0,36,2,2,4,5,8,14
55,No,Travel_Rarely,254,Research & Development,4,2,Technical Degree,1,38,1,Female,48,2,3,Human Resources,3,Divorced,16586,10257,1,No,Y,17,3,3,0,18,4,1,2,9,1,11
38,Yes,Non-Travel,1244,Sales,14,5,Other,1,39,1,Male,74,1,4,Sales Executive,2,Married,19346,11660,7,Yes,Y,17,3,1,0,0,5,3,13,3,0,14
58,Yes,Travel_Rarely,1039,Research & Development,20,2,Medical,1,40,1,Male,96,2,3,Manufacturing Director,2,Divorced,10591,9681,4,No,Y,14,3,2,2,5,5,2,1,10,1,0
48,No,Travel_Rarely,298,Research & Development,4,5,Life Sciences,1,41,1,Male,56,2,4,Manager,2,Divorced,7934,7195,0,Yes,Y,11,4,1,2,1,6,2,3,4,9,14
58,No,Travel_Rarely,139,Human Resources,12,1,Technical Degree,1,42,4,Female,51,3,1,Research Scientist,2,Single,14274,25220,2,Yes,Y,14,3,3,0,34,6,1,13,13,5,10
36,No,Non-Travel,428,Human Resources,22,3,Technical Degree,1,43,2,Female,47,1,2,Human Resources,1,Single,5702,8552,1,No,Y,16,3,2,3,34,1,1,8,4,5,4
25,No,Non-Travel,878,Human Resources,27,1,Marketing,1,44,2,Female,96,2,2,Manager,3,Single,6425,11715,8,Yes,Y,24,3,2,0,21,0,1,15,1,5,4
57,Yes,Non-Travel,368,Research & Development,28,3,Technical Degree,1,45,4,Male,51,1,2,Healthcare Representative,2,Married,19934,22179,4,Yes,Y,10,3,2,0,28,5,2,6,4,9,7
50,No,Travel_Frequently,580,Research & Development,29,4,Other,1,46,2,Male,55,1,2,Laboratory Technician,1,Married,13541,22696,3,Yes,Y,16,3,4,1,9,3,4,7,10,1,11
31,Yes,Non-Travel,1421,Research & Development,5,5,Medical,1,47,3,Female,38,1,4,Research Scientist,1,Married,14691,26223,8,No,Y,18,3,3,0,31,4,2,14,14,9,8
32,No,Travel_Frequently,883,Research & Development,6,4,Life Sciences,1,48,2,Male,31,4,4,Sales Executive,3,Divorced,12264,27993,3,No,Y,23,3,2,3,38,6,1,13,7,6,13
37,No,Travel_Rarely,1148,Sales,3,4,Medical,1,49,2,Female,98,2,5,Research Scientist,4,Divorced,19925,7619,0,Yes,Y,12,3,1,1,0,1,1,17,9,2,1
51,No,Non-Travel,708,Sales,28,3,Life Sciences,1,50,2,Male,51,2,2,Laboratory Technician,3,Married,15562,15277,8,Yes,Y,21,3,1,0,6,3,3,1,13,8,9
50,No,Travel_Frequently,1449,Human Resources,8,3,Life Sciences,1,51,2,Female,69,4,1,Laboratory Technician,4,Married,15157,4892,9,No,Y,16,3,1,0,39,1,1,19,13,5,11
44,No,Travel_Rarely,147,Sales,24,5,Technical Degree,1,52,3,Female,63,1,1,Manufacturing Director,3,Divorced,14115,9310,3,Yes,Y,14,4,4,1,19,5,2,13,8,2,7
57,No,Non-Travel,1053,Research & Development,22,4,Human Resources,1,53,2,Female,88,4,4,Human Resources,3,Married,19644,18133,1,Yes,Y,22,3,1,0,20,2,3,9,3,6,3
38,No,Travel_Frequently,288,Research & Development,8,3,Medical,1,54,2,Female,37,2,1,Healthcare Representative,3,Married,4293,11129,8,Yes,Y,15,3,4,1,14,3,3,7,4,0,6
59,Yes,Travel_Rarely,205,Sales,3,2,Human Resources,1,55,1,Male,76,1,3,Sales Executive,2,Single,17485,10939,4,No,Y,14,3,4,1,12,6,4,9,1,1,8
18,No,Travel_Frequently,400,Human Resources,2,3,Medical,1,56,2,Male,63,2,1,Research Scientist,3,Married,18854,22042,0,Yes,Y,19,3,1,3,39,3,2,10,7,8,1
18,No,Travel_Rarely,1187,Human Resources,19,1,Other,1,57,2,Female,66,3,5,Sales Executive,3,Divorced,2213,21953,2,No,Y,19,3,4,2,36,3,3,4,9,3,9
41,No,Non-Travel,1261,Sales,29,2,Human Resources,1,58,1,Male,33,3,4,Sales Executive,2,Divorced,19920,12557,5,Yes,Y,12,3,1,2,18,6,1,9,14,2,13
28,No,Travel_Frequently,837,Sales,4,5,Other,1,59,3,Male,30,3,1,Manufacturing Director,4,Divorced,19915,14111,8,No,Y,18,3,1,1,36,4,4,0,10,9,13
19,Yes,Travel_Rarely,137,Sales,3,4,Technical Degree,1,60,3,Female,37,4,1,Sales Executive,3,Married,13903,24286,0,No,Y,11,3,2,1,29,6,4,1,7,2,9
33,No,Travel_Frequently,1424,Sales,22,5,Other,1,61,3,Female,88,1,5,Manufacturing Director,1,Single,9247,3662,2,No,Y,22,3,1,1,13,5,4,7,9,7,14
52,Yes,Travel_Rarely,283,Sales,8,3,Marketing,1,62,3,Female,75,4,2,Manager,2,Divorced,6214,20254,8,No,Y,21,3,2,3,3,6,2,14,10,2,3
48,Yes,Travel_Frequently,681,Human Resources,18,2,Medical,1,63,2,Male,40,4,3,Healthcare Representative,3,Married,7565,22767,9,Yes,Y,17,4,3,1,15,6,1,11,6,2,8
22,No,Travel_Frequently,273,Sales,21,2,Life Sciences,1,64,3,Male,83,2,2,Sales Executive,4,Divorced,12652,6859,9,Yes,Y,12,4,2,2,16,1,2,5,9,4,4
46,No,Non-Travel,623,Human Resources,18,4,Human Resources,1,65,4,Male,84,2,2,Healthcare Representative,4,Married,18804,9771,6,Yes,Y,18,3,3,0,20,5,2,5,5,3,8
19,No,Travel_Frequently,351,Sales,23,3,Medical,1,66,4,Male,54,3,1,Human Resources,4,Married,3867,9332,1,Yes,Y,18,3,2,3,13,4,4,4,5,1,5
40,No,Travel_Frequently,1401,Human Resources,1,4,Other,1,67,3,Male,63,1,1,Research Scientist,2,Married,15096,15888,8,No,Y,11,3,3,0,37,2,3,0,5,3,11
59,No,Travel_Rarely,758,Research & Development,26,1,Technical Degree,1,68,2,Male,43,4,5,Healthcare Representative,2,Divorced,15215,26131,2,No,Y,23,3,3,1,37,5,4,9,9,2,5
43,No,Non-Travel,497,Sales,29,1,Technical Degree,1,69,4,Male,46,2,1,Research Scientist,2,Married,12543,10112,1,No,Y,12,3,2,2,32,1,2,6,1,4,12
49,No,Travel_Rarely,170,Research & Development,29,5,Marketing,1,70,2,Male,76,2,4,Research Scientist,3,Divorced,4272,20609,0,Yes,Y,20,3,2,1,36,6,4,11,13,2,9
59,No,Non-Travel,629,Human Resources,24,5,Human Resources,1,71,4,Male,83,2,2,Human Resources,4,Married,2014,9852,7,Yes,Y,15,4,3,2,36,0,2,15,11,1,0
38,Yes,Travel_Rarely,899,Human Resources,13,4,Medical,1,72,1,Female,84,2,5,Laboratory Technician,1,Married,16294,15445,8,Yes,Y,19,3,3,0,6,5,4,5,7,8,8
47,Yes,Travel_Rarely,678,Sales,27,4,Human Resources,1,73,1,Male,36,4,2,Healthcare Representative,4,Married,5272,22333,0,No,Y,21,3,1,1,2,5,3,15,2,7,2
21,No,Non-Travel,1363,Human Resources,10,4,Life Sciences,1,74,3,Male,92,4,1,Laboratory Technician,1,Divorced,18254,13387,4,No,Y,22,3,1,2,9,5,4,7,2,6,1
39,No,Travel_Rarely,237,Sales,4,2,Technical Degree,1,75,4,Female,71,1,5,Laboratory Technician,3,Married,9337,21997,1,No,Y,19,3,2,3,27,6,3,12,12,4,6
57,No,Travel_Frequently,894,Research & Development,12,5,Medical,1,76,2,Male,88,3,2,Healthcare Representative,1,Single,11921,2398,2,Yes,Y,19,3,2,3,34,1,3,12,3,1,13
49,No,Travel_Frequently,402,Human Resources,27,4,Life Sciences,1,77,2,Female,90,3,3,Sales Executive,3,Single,14851,24620,1,No,Y,20,3,4,0,7,2,4,9,10,9,8
51,No,Travel_Rarely,1415,Human Resources,3,1,Marketing,1,78,3,Male,46,1,4,Laboratory Technician,4,Married,18570,21870,6,Yes,Y,20,3,2,3,28,2,3,15,11,7,4
36,No,Travel_Frequently,1214,Sales,23,4,Life Sciences,1,79,3,Male,77,4,1,Sales Executive,2,Single,9058,15582,9,No,Y,22,3,2,0,2,2,2,16,13,3,0
27,No,Non-Travel,443,Research & Development,25,5,Medical,1,80,2,Female,35,4,5,Sales Executive,2,Single,6649,18309,2,No,Y,24,3,4,2,22,4,3,6,14,7,13
25,No,Non-Travel,1147,Human Resources,13,2,Life Sciences,1,81,2,Male,65,4,4,Manager,1,Divorced,8561,22572,4,No,Y,16,3,2,3,5,2,3,2,8,8,10
20,No,Travel_Frequently,1292,Research & Development,12,4,Medical,1,82,1,Male,94,4,5,Manufacturing Director,4,Divorced,19443,19532,6,No,Y,10,3,1,0,24,2,3,17,6,1,1
51,No,Non-Travel,845,Human Resources,20,5,Medical,1,83,2,Female,42,4,2,Sales Executive,1,Single,14986,12928,0,Yes,Y,23,3,2,0,33,3,3,0,2,2,3
27,Yes,Non-Travel,847,Sales,6,1,Technical Degree,1,84,1,Male,33,4,5,Manager,4,Married,19674,4693,4,Yes,Y,12,3,3,0,25,5,3,3,2,9,10
30,No,Travel_Frequently,400,Human Resources,22,4,Life Sciences,1,85,1,Male,73,4,2,Laboratory Technician,4,Divorced,10360,2442,5,Yes,Y,17,3,4,2,29,6,2,7,5,1,14
42,No,Non-Travel,962,Research & Development,3,5,Medical,1,86,3,Female,53,1,5,Manager,4,Divorced,18567,27730,7,No,Y,16,3,1,1,30,3,4,13,11,9,6
21,No,Travel_Rarely,931,Human Resources,16,3,Life Sciences,1,87,1,Male,49,2,1,Research Scientist,1,Divorced,7005,13086,9,No,Y,23,3,1,0,34,6,1,11,14,8,11
21,No,Travel_Frequently,106,Human Resources,3,5,Technical Degree,1,88,3,Male,30,1,5,Human Resources,3,Married,18756,19084,6,Yes,Y,13,3,1,2,4,6,2,16,7,1,0
41,Yes,Non-Travel,598,Sales,11,3,Life Sciences,1,89,1,Male,48,3,3,Research Scientist,1,Single,15019,25747,2,Yes,Y,21,4,2,1,27,1,1,8,11,6,1
45,Yes,Travel_Rarely,1337,Sales,4,1,Marketing,1,90,3,Female,51,3,3,Laboratory Technician,4,Single,14248,29097,7,Yes,Y,16,3,3,1,39,5,1,17,4,3,2
57,No,Travel_Frequently,604,Research & Development,27,2,Medical,1,91,3,Male,81,3,2,Manager,4,Single,5663,4299,0,Yes,Y,10,3,4,2,22,0,2,18,6,9,10
54,No,Travel_Frequently,1404,Research & Development,17,2,Life Sciences,1,92,4,Female,99,2,1,Sales Executive,3,Married,5572,10443,5,No,Y,13,3,4,2,19,3,3,12,6,4,3
49,Yes,Non-Travel,1274,Research & Development,12,2,Marketing,1,93,2,Female,33,4,5,Sales Executive,3,Single,13562,22255,3,No,Y,16,3,3,2,4,5,3,4,12,9,8
42,No,Travel_Rarely,1206,Sales,5,4,Marketing,1,94,4,Female,81,2,2,Healthcare Representative,1,Single,7191,9943,6,Yes,Y,14,3,4,2,22,5,1,18,6,9,10
58,No,Travel_Rarely,1463,Sales,26,2,Marketing,1,95,1,Male,69,3,3,Manager,4,Divorced,6317,24338,7,Yes,Y,18,3,3,1,3,1,3,16,10,8,0
31,No,Travel_Frequently,1031,Human Resources,7,1,Medical,1,96,4,Female,70,4,5,Human Resources,1,Married,11959,9836,9,No,Y,17,3,4,1,8,3,3,18,2,6,6
21,No,Travel_Rarely,979,Human Resources,12,2,Technical Degree,1,97,2,Male,79,1,5,Laboratory Technician,1,Divorced,10134,2441,7,No,Y,24,4,3,0,23,1,3,15,2,2,11
26,No,Travel_Rarely,517,Human Resources,11,2,Human Resources,1,98,2,Female,57,4,5,Human Resources,3,Married,19469,8825,1,Yes,Y,19,3,4,3,8,1,2,6,14,6,12
58,No,Travel_Frequently,209,Human Resources,11,3,Human Resources,1,99,2,Male,57,2,5,Research Scientist,4,Single,15866,22676,8,No,Y,18,3,3,1,12,6,4,8,12,9,9
58,No,Non-Travel,927,Human Resources,12,3,Medical,1,100,1,Male,42,2,5,Healthcare Representative,1,Divorced,17489,17374,6,No,Y,20,3,2,1,3,6,4,5,5,2,2
36,No,Travel_Frequently,883,Sales,1,1,Medical,1,101,1,Male,74,1,5,Laboratory Technician,2,Married,10051,3998,7,No,Y,17,4,2,0,36,6,3,0,3,0,9
42,Yes,Travel_Frequently,762,Human Resources,29,4,Medical,1,102,3,Male,47,2,3,Laboratory Technician,2,Divorced,16698,6243,9,No,Y,22,3,1,1,0,1,3,12,2,4,1
55,No,Travel_Frequently,707,Human Resources,4,2,Medical,1,103,4,Male,67,3,1,Healthcare Representative,2,Single,14515,4025,1,Yes,Y,15,3,3,2,21,6,3,19,9,8,3
54,Yes,Travel_Rarely,256,Human Resources,13,4,Human Resources,1,104,4,Male,35,2,4,Research Scientist,4,Divorced,8443,8346,9,No,Y,16,3,2,0,34,6,2,11,10,6,7
36,No,Travel_Rarely,867,Research & Development,12,2,Human Resources,1,105,3,Female,77,2,5,Manufacturing Director,3,Married,4925,18846,6,No,Y,18,3,3,1,24,5,2,8,11,1,6
27,No,Travel_Rarely,383,Human Resources,21,1,Life Sciences,1,106,2,Female,57,2,2,Manufacturing Director,2,Married,13298,10710,1,No,Y,10,3,3,0,10,5,2,13,11,2,9
32,Yes,Travel_Rarely,152,Human Resources,6,1,Human Resources,1,107,4,Female,97,2,5,Research Scientist,3,Married,9847,21714,3,No,Y,14,3,2,2,32,2,2,7,12,8,10
42,No,Travel_Frequently,614,Human Resources,16,5,Marketing,1,108,4,Male,86,3,5,Human Resources,1,Married,7320,18175,4,No,Y,10,3,1,0,10,0,3,18,14,8,5
18,No,Non-Travel,650,Sales,19,3,Human Resources,1,109,2,Male,66,2,5,Sales Executive,4,Single,17478,18641,9,No,Y,21,3,2,3,28,6,1,16,1,2,12
40,No,Travel_Rarely,376,Research & Development,9,4,Technical Degree,1,110,4,Female,36,4,5,Research Scientist,2,Divorced,2341,28523,0,No,Y,12,3,1,1,33,2,1,14,3,1,2
24,No,Travel_Rarely,588,Sales,22,2,Technical Degree,1,111,4,Female,63,3,1,Manufacturing Director,3,Married,10123,22091,4,No,Y,24,3,1,0,0,5,2,0,3,4,8
27,Yes,Non-Travel,225,Research & Development,18,5,Human Resources,1,112,4,Female,99,2,1,Sales Executive,1,Married,18926,29078,3,No,Y,14,3,3,1,14,1,3,14,5,5,12
24,Yes,Non-Travel,905,Human Resources,9,1,Marketing,1,113,4,Female,84,1,1,Manager,4,Single,14102,24233,1,Yes,Y,22,4,2,1,26,4,1,19,10,6,2
34,No,Non-Travel,956,Research & Development,28,3,Life Sciences,1,114,2,Female,84,1,3,Manufacturing Director,4,Married,19397,10136,5,Yes,Y,11,3,1,0,15,0,3,10,7,5,3
36,No,Travel_Rarely,979,Sales,11,4,Marketing,1,115,4,Female,67,1,3,Human Resources,2,Married,18893,19908,2,No,Y,16,3,3,2,1,4,2,10,0,9,0
38,No,Travel_Frequently,684,Sales,11,5,Life Sciences,1,116,3,Male,88,3,3,Sales Executive,3,Married,18551,15711,8,No,Y,20,3,1,3,9,5,3,6,5,6,12
25,No,Travel_Frequently,1007,Human Resources,28,3,Human Resources,1,117,1,Female,64,1,4,Sales Executive,2,Divorced,13678,21548,1,No,Y,23,3,1,2,2,3,4,7,7,7,10
31,No,Travel_Frequently,1040,Human Resources,9,4,Marketing,1,118,3,Male,40,4,4,Manufacturing Director,2,Single,11703,19681,9,Yes,Y,20,3,3,0,38,5,3,17,4,3,4
39,No,Travel_Rarely,931,Research & Development,5,3,Life Sciences,1,119,3,Male,37,3,2,Sales Executive,2,Married,17974,20596,6,Yes,Y,17,3,3,0,30,4,4,17,4,9,10
46,No,Travel_Frequently,104,Sales,27,3,Human Resources,1,120,1,Male,90,1,3,Manager,3,Single,15163,5860,1,No,Y,10,3,2,2,36,0,2,17,13,7,0
26,No,Non-Travel,919,Research & Development,3,4,Human Resources,1,121,3,Female,54,3,5,Healthcare Representative,3,Married,16164,27331,9,Yes,Y,17,3,1,1,7,1,1,10,7,2,12
42,No,Travel_Frequently,709,Human Resources,14,2,Marketing,1,122,1,Female,63,2,2,Laboratory Technician,3,Single,2025,13943,8,Yes,Y,16,3,3,0,22,2,3,4,4,6,14
46,Yes,Non-Travel,1349,Research & Development,25,3,Technical Degree,1,123,1,Female,91,3,3,Human Resources,2,Single,9170,15071,0,Yes,Y,10,3,3,0,16,5,3,11,9,1,7
53,Yes,Non-Travel,942,Human Resources,22,3,Technical Degree,1,124,4,Female,91,2,4,Research Scientist,1,Married,18833,17695,8,No,Y,22,3,2,3,1,0,4,18,11,5,4
45,No,Non-Travel,1277,Sales,16,3,Medical,1,125,1,Male,41,3,3,Human Resources,1,Married,9253,23882,1,No,Y,12,3,3,2,1,0,1,0,4,7,8
22,No,Travel_Rarely,1171,Human Resources,10,1,Human Resources,1,126,1,Male,32,4,5,Human Resources,2,Married,4922,25525,7,No,Y,11,3,1,1,33,4,2,12,4,4,8
21,No,Travel_Frequently,770,Sales,16,3,Marketing,1,127,1,Male,99,3,5,Research Scientist,4,Divorced,3807,24418,5,Yes,Y,21,3,3,2,1,6,3,3,1,6,5
58,Yes,Travel_Rarely,235,Human Resources,19,2,Human Resources,1,128,2,Male,55,1,5,Laboratory Technician,1,Married,2371,18113,0,Yes,Y,18,3,2,1,4,0,2,16,12,4,13
43,No,Non-Travel,526,Sales,9,5,Other,1,129,1,Male,76,2,2,Research Scientist,4,Single,19096,29942,8,No,Y,14,3,2,2,21,2,4,19,8,6,0
46,No,Travel_Rarely,433,Sales,8,4,Human Resources,1,130,2,Female,94,3,4,Manager,3,Married,19947,5133,8,Yes,Y,17,3,2,0,19,3,2,2,7,1,11
32,No,Travel_Rarely,878,Human Resources,11,5,Other,1,131,2,Male,37,1,2,Human Resources,1,Single,10899,5146,6,Yes,Y,17,3,1,2,20,3,2,15,11,2,0
55,No,Travel_Frequently,1124,Sales,21,3,Medical,1,132,1,Male,37,2,1,Sales Executive,3,Single,6809,4174,0,Yes,Y,16,3,1,2,8,5,4,4,12,3,4
43,Yes,Non-Travel,232,Sales,11,4,Life Sciences,1,133,2,Female,37,3,1,Laboratory Technician,4,Divorced,3639,23286,1,Yes,Y,13,3,3,3,7,6,3,9,6,7,3
58,Yes,Travel_Rarely,615,Sales,19,5,Other,1,134,2,Male,48,2,4,Laboratory Technician,3,Divorced,3135,24111,5,Yes,Y,13,3,3,3,33,5,1,9,4,1,12
18,No,Non-Travel,711,Research & Development,2,5,Medical,1,135,3,Female,61,4,3,Research Scientist,2,Married,10799,8585,7,Yes,Y,23,4,2,3,3,3,2,10,11,4,11
24,No,Travel_Frequently,238,Research & Development,1,1,Medical,1,136,2,Female,60,2,3,Healthcare Representative,1,Divorced,17022,28655,7,No,Y,10,3,3,2,31,2,1,1,8,0,2
19,No,Non-Travel,188,Research & Development,3,5,Other,1,137,1,Female,94,1,5,Human Resources,3,Single,19615,9766,5,Yes,Y,22,4,2,1,11,3,1,17,2,9,6
22,No,Travel_Frequently,1097,Human Resources,19,4,Marketing,1,138,4,Female,85,1,5,Manufacturing Director,4,Single,10005,10831,7,No,Y,23,3,2,2,35,2,2,18,3,9,9
53,No,Travel_Frequently,660,Sales,13,2,Technical Degree,1,139,3,Female,47,2,4,Manufacturing Director,3,Single,2951,12962,6,Yes,Y,14,3,2,1,0,0,2,0,10,2,12
23,No,Travel_Rarely,1126,Sales,24,1,Human Resources,1,140,1,Female,33,1,1,Human Resources,1,Single,14032,6753,3,Yes,Y,23,3,1,3,24,6,4,1,13,8,1
23,No,Travel_Frequently,1134,Sales,14,4,Life Sciences,1,141,3,Male,59,3,3,Research Scientist,3,Married,9029,10585,4,Yes,Y,16,3,2,3,36,4,2,5,11,9,7
18,No,Non-Travel,276,Human Resources,20,2,Human Resources,1,142,1,Female,69,3,2,Healthcare Representative,2,Married,4067,24250,2,No,Y,17,3,2,3,1,1,2,13,2,1,5
44,No,Travel_Frequently,769,Research & Development,4,5,Other,1,143,1,Female,91,4,4,Manufacturing Director,1,Divorced,18349,21517,6,Yes,Y,19,3,3,3,3,3,1,6,12,9,13
47,Yes,Travel_Frequently,349,Sales,29,4,Marketing,1,144,3,Female,86,4,5,Healthcare Representative,1,Divorced,14564,8824,3,Yes,Y,22,3,2,3,11,3,1,2,11,0,11
